1609;2;9;13;17;29;45;17;19;29;33;38;43
1608;8;11;16;23;24;30;1;2;4;29;30;33
1607;5;6;18;30;32;36;3;4;5;19;27;29
1606;11;18;24;35;42;45;1;5;23;32;37;38
1605;24;31;32;33;40;42;6;10;13;27;28;44
1604;4;7;13;14;17;27;5;17;21;27;34;37
1603;16;19;22;30;43;45;5;6;8;22;23;38
1602;8;20;22;33;38;40;24;25;27;35;42;43
1601;10;28;32;41;44;45;11;24;31;36;38;39
1600;4;7;9;18;29;45;3;20;26;29;31;36
1599;1;2;8;15;24;34;5;11;20;39;41;44
1598;4;7;15;16;27;37;15;27;29;30;34;35
1597;3;15;19;30;32;45;3;9;15;26;34;44
1596;1;5;12;16;28;35;1;5;21;26;34;44
1595;3;10;20;21;34;40;3;30;31;36;42;43
1594;3;4;6;22;34;45;12;18;20;33;38;43
1593;5;7;18;20;23;42;17;31;32;33;37;42
1592;1;7;19;27;34;43;5;9;19;31;32;37
1591;2;9;12;21;27;33;4;13;24;26;32;37
1590;18;25;32;35;42;45;10;18;33;38;42;44
1589;3;11;20;27;31;34;1;15;16;27;30;36
1588;10;25;36;38;40;44;28;36;38;39;40;44
1587;6;7;13;26;28;45;9;14;23;27;30;41
1586;1;10;16;21;38;43;14;18;20;22;34;37
1585;11;14;20;22;37;42;6;15;22;23;36;39
1584;8;10;12;17;23;28;12;18;19;20;26;28
1583;9;17;18;24;25;30;8;26;32;37;39;44
1582;9;17;25;26;33;36;8;18;21;25;31;34
1581;4;11;14;16;21;27;7;13;22;34;44;45
1580;1;4;5;15;24;39;2;10;25;27;34;45
1579;3;4;10;18;24;29;8;15;19;33;35;36
1578;1;9;13;23;26;32;10;13;14;19;38;41
1577;2;11;12;24;34;36;7;24;28;31;32;37
1576;1;20;27;34;36;41;4;19;33;34;39;43
1575;5;14;18;21;23;42;1;5;25;30;33;44
1574;3;20;27;30;39;42;14;16;28;31;32;39
1573;4;10;20;24;28;38;1;11;25;32;41;42
1572;3;21;22;24;26;44;2;13;14;22;42;44
1571;17;21;27;30;32;34;14;23;28;29;35;36
1570;3;7;10;25;26;37;2;17;20;22;23;29
1569;11;32;37;41;42;45;1;8;18;19;31;42
1568;16;20;23;34;38;40;9;13;19;29;31;45
1567;3;5;10;25;38;41;3;22;27;34;38;40
1566;13;22;24;26;28;39;17;21;31;32;38;41
1565;3;11;14;19;20;26;1;3;25;32;33;36
1564;5;21;24;31;34;42;11;16;20;36;37;43
1563;7;10;11;17;22;38;12;20;21;29;31;42
1562;6;9;11;23;31;37;1;8;14;18;34;42
1561;6;8;15;16;33;37;2;3;12;25;31;40
1560;8;10;21;30;33;36;4;5;10;17;20;40
1559;4;6;17;24;28;32;10;16;25;35;44;45
1558;6;10;12;16;22;27;4;7;16;22;33;38
1557;6;13;20;24;32;45;2;4;5;10;27;42
1556;15;17;24;25;29;42;2;16;21;23;30;37
1555;14;16;26;31;35;42;1;4;6;24;36;43
1554;8;9;11;18;26;43;4;6;31;36;37;41
1553;7;11;24;28;31;44;2;16;17;22;23;42
1552;3;4;7;17;38;42;1;6;27;31;33;38
1551;3;29;30;43;44;45;5;22;30;33;40;45
1550;6;7;15;19;29;39;5;6;12;25;34;43
1549;8;10;14;21;32;42;18;20;27;33;36;40
1548;6;13;22;29;35;43;3;18;21;31;43;45
1547;11;17;27;34;36;38;5;22;24;30;35;43
1546;5;10;17;18;29;38;3;21;29;30;34;44
1545;9;26;27;28;29;37;14;16;26;30;33;41
1544;3;11;15;20;42;43;5;10;13;18;19;37
1543;2;3;4;8;12;44;1;3;4;15;16;22
1542;2;12;13;21;26;33;3;15;28;30;34;43
1541;9;16;30;37;40;42;6;8;22;24;28;44
1540;18;19;21;23;30;31;1;3;14;17;23;45
1539;7;8;33;34;43;45;12;20;26;33;44;45
1538;7;13;25;26;31;32;10;14;20;34;38;45
1537;7;10;13;20;32;43;12;13;14;15;27;44
1536;3;9;19;28;30;34;3;7;11;12;43;45
1535;1;2;10;29;30;31;8;10;12;16;19;28
1534;3;21;26;31;39;42;5;12;23;26;43;45
1533;1;8;10;19;22;27;5;11;17;18;35;40
1532;2;4;16;17;30;34;4;13;14;17;19;29
1531;1;7;15;16;40;42;10;11;15;23;29;45
1530;9;10;22;24;35;40;5;8;10;14;16;20
1529;6;10;16;22;25;32;22;24;25;27;37;41
1528;7;11;13;37;39;41;1;6;12;13;16;45
1527;5;14;19;31;33;37;4;17;20;21;26;35
1526;13;20;21;25;35;41;20;25;34;35;37;38
1525;7;17;26;27;41;43;9;10;11;14;28;37
1524;21;23;25;32;37;44;2;18;19;25;28;35
1523;4;10;18;35;42;45;13;14;18;29;39;44
1522;5;6;10;22;24;42;15;23;29;30;41;42
1521;3;7;15;16;33;42;8;15;25;28;36;42
1520;6;9;10;24;37;40;9;10;13;16;21;26
1519;20;31;40;41;44;45;15;18;23;27;31;33
1518;7;18;24;36;37;42;13;28;34;35;36;40
1517;4;5;13;18;31;38;2;9;10;14;23;36
1516;11;21;25;35;42;44;1;22;32;33;42;45
1515;3;5;17;20;21;35;5;7;13;35;38;42
1514;6;7;20;30;33;44;5;8;15;31;39;41
1513;2;16;24;28;37;40;10;13;19;27;44;45
1512;5;13;17;25;35;40;11;13;33;40;41;43
1511;1;11;19;24;31;38;6;9;14;30;34;44
1510;5;7;14;35;38;41;4;19;20;23;38;40
1509;3;9;10;21;31;43;20;22;28;32;34;35
1508;2;7;9;17;40;42;3;5;13;18;24;27
1507;5;7;9;10;26;37;7;11;40;42;44;45
1506;1;5;10;12;21;41;8;16;20;30;40;43
